host,port,protocol,type,latency_ms,verified_at,source
5.104.174.199,23500,http,http,5997.26,2026-09-13T17:42:18.214969+00:00,jetkai/proxy-list
1.0.171.213,8080,http,http,9498.7,2026-09-13T17:42:21.717950+00:00,jetkai/proxy-list
